Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
29,28,990.0,2,6,7,1,7,6,0.06896551724137931,0.20689655172413793,0.2413793103448276,0.034482758620689655,0.2413793103448276,0.20689655172413793,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0]",2.793103448275862,2.715814506539833
30,29,905.0,3,6,7,1,7,6,0.1,0.2,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.2,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0]",2.7,2.876666666666666
31,30,894.0,4,6,7,1,7,6,0.12903225806451613,0.1935483870967742,0.22580645161290322,0.03225806451612903,0.22580645161290322,0.1935483870967742,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0]",2.6129032258064515,3.0114464099895932
32,31,979.0,4,6,7,2,7,6,0.125,0.1875,0.21875,0.0625,0.21875,0.1875,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3]",2.625,2.921875
33,32,1064.0,5,6,7,2,7,6,0.15151515151515152,0.18181818181818182,0.21212121212121213,0.06060606060606061,0.21212121212121213,0.18181818181818182,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0]",2.5454545454545454,3.035812672176309
34,33,1064.0,5,6,8,2,7,6,0.14705882352941177,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.20588235294117646,0.17647058823529413,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2]",2.5294117647058822,2.9550173010380623
35,34,1009.0,5,6,9,2,7,6,0.14285714285714285,0.17142857142857143,0.2571428571428571,0.05714285714285714,0.2,0.17142857142857143,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2]",2.5142857142857142,2.878367346938776
36,35,936.0,5,6,9,2,8,6,0.1388888888888889,0.16666666666666666,0.25,0.05555555555555555,0.2222222222222222,0.16666666666666666,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4]",2.5555555555555554,2.858024691358025
37,36,986.0,5,6,9,2,9,6,0.13513513513513514,0.16216216216216217,0.24324324324324326,0.05405405405405406,0.24324324324324326,0.16216216216216217,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4]",2.5945945945945947,2.8356464572680795
38,37,970.0,5,6,9,2,10,6,0.13157894736842105,0.15789473684210525,0.23684210526315788,0.05263157894736842,0.2631578947368421,0.15789473684210525,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4]",2.6315789473684212,2.8116343490304723
39,38,838.0,5,6,9,2,11,6,0.1282051282051282,0.15384615384615385,0.23076923076923078,0.05128205128205128,0.28205128205128205,0.15384615384615385,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4, 4]",2.6666666666666665,2.786324786324786
40,39,866.0,5,6,9,2,12,6,0.125,0.15,0.225,0.05,0.3,0.15,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4, 4, 4]",2.7,2.76
41,40,1576.0,5,6,9,2,13,6,0.12195121951219512,0.14634146341463414,0.21951219512195122,0.04878048780487805,0.3170731707317073,0.14634146341463414,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4, 4, 4, 4]",2.731707317073171,2.732897085068412
42,41,1653.0,5,6,9,2,14,6,0.11904761904761904,0.14285714285714285,0.21428571428571427,0.047619047619047616,0.3333333333333333,0.14285714285714285,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4, 4, 4, 4, 4]",2.761904761904762,2.705215419501134
43,42,1738.0,5,6,9,2,14,7,0.11627906976744186,0.13953488372093023,0.20930232558139536,0.046511627906976744,0.32558139534883723,0.16279069767441862,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4, 4, 4, 4, 4, 5]",2.813953488372093,2.756084369929692
44,43,1784.0,5,6,9,2,14,8,0.11363636363636363,0.13636363636363635,0.20454545454545456,0.045454545454545456,0.3181818181818182,0.18181818181818182,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5]",2.8636363636363638,2.7995867768595044
45,-1,2115.0,6,6,9,2,14,8,0.13333333333333333,0.13333333333333333,0.2,0.044444444444444446,0.3111111111111111,0.17777777777777778,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5, 5, 5, 5, 2, 2, 0, 0, 0, 3, 0, 2, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 0]",2.8,2.915555555555556
3,-1,1138.0,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[5, 2, 5]",4.0,2.0
3,-1,1133.0,0,1,0,2,0,0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,"[1, 3, 3]",2.3333333333333335,0.8888888888888888
3,-1,1085.0,0,0,0,1,1,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[5, 4, 3]",4.0,0.6666666666666666
3,-1,1107.0,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[2, 5, 5]",4.0,2.0
3,-1,1189.0,0,0,0,1,1,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[4, 5, 3]",4.0,0.6666666666666666
3,2,748.0,0,1,0,0,1,1,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,"[5, 1, 4]",3.3333333333333335,2.8888888888888893
4,3,855.0,0,2,0,0,1,1,0.0,0.5,0.0,0.0,0.25,0.25,"[5, 1, 4, 1]",2.75,3.1875
5,4,914.0,0,2,0,0,2,1,0.0,0.4,0.0,0.0,0.4,0.2,"[5, 1, 4, 1, 4]",3.0,2.8
6,5,895.0,0,2,0,1,2,1,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,"[5, 1, 4, 1, 4, 3]",3.0,2.3333333333333335
7,6,777.0,0,3,0,1,2,1,0.0,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,"[5, 1, 4, 1, 4, 3, 1]",2.7142857142857144,2.4897959183673466
