Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
7,0.0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,99,50.0,546.0,546.0,6430.340000000001,6430.128206309779,1,2,3,0,1,0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,"[1, 2, 0, 1, 4, 2, 2]",1.7142857142857142,1.3469387755102038
8,0.0,-1.0,-1.0,6976.340000000001,7,50.0,200.0,51,50.0,448.0,448.0,6528.340000000001,6528.7830390256195,1,2,3,0,2,0,0.125,0.25,0.375,0.0,0.25,0.0,"[1, 2, 0, 1, 4, 2, 2, 4]",2.0,1.75
9,0.0,-1.0,-1.0,6976.340000000001,8,50.0,200.0,105,50.0,440.0,440.0,6536.340000000001,6536.565309215749,1,2,4,0,2,0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.2222222222222222,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2]",2.0,1.5555555555555556
10,0.0,-1.0,-1.0,6976.340000000001,9,50.0,200.0,21,50.0,183.0,183.0,6793.340000000001,6793.5568943781345,1,2,4,0,3,0,0.1,0.2,0.4,0.0,0.3,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4]",2.2,1.7600000000000002
11,0.0,-1.0,-1.0,6976.340000000001,10,50.0,200.0,84,50.0,251.0,251.0,6725.340000000001,6725.765069574067,1,2,5,0,3,0,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.0,0.2727272727272727,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2]",2.1818181818181817,1.603305785123967
12,0.0,-1.0,-1.0,6976.340000000001,11,50.0,200.0,36,100.0,384.0,384.0,6592.340000000001,6592.556398504356,1,2,5,0,4,0,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.0,0.3333333333333333,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4]",2.3333333333333335,1.7222222222222223
13,0.0,-1.0,-1.0,6976.340000000001,12,50.0,200.0,11,50.0,473.0,473.0,6503.340000000001,6503.05719615009,1,2,5,0,5,0,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.0,0.38461538461538464,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4]",2.4615384615384617,1.7869822485207103
14,0.0,-1.0,-1.0,6976.340000000001,13,50.0,200.0,10,50.0,500.0,500.0,6476.340000000001,6476.513419528455,1,2,5,0,6,0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.0,0.42857142857142855,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4]",2.5714285714285716,1.8163265306122451
15,0.0,-1.0,-1.0,6976.340000000001,14,50.0,200.0,137,50.0,522.0,522.0,6454.340000000001,6454.439854797524,1,2,5,0,6,1,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.0,0.4,0.06666666666666667,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5]",2.7333333333333334,2.0622222222222217
16,0.0,-1.0,-1.0,6976.340000000001,15,50.0,200.0,136,50.0,488.0,488.0,6488.340000000001,6488.200939168903,1,2,5,0,6,2,0.0625,0.125,0.3125,0.0,0.375,0.125,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5]",2.875,2.234375
17,0.0,-1.0,-1.0,6976.340000000001,16,50.0,200.0,6,50.0,404.0,404.0,6572.340000000001,6572.061776019282,1,2,5,0,7,2,0.058823529411764705,0.11764705882352941,0.29411764705882354,0.0,0.4117647058823529,0.11764705882352941,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4]",2.9411764705882355,2.1730103806228374
18,0.0,-1.0,-1.0,6976.340000000001,17,50.0,200.0,41,100.0,678.0,678.0,6298.340000000001,6298.651263933734,1,3,5,0,7,2,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.0,0.3888888888888889,0.1111111111111111,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1]",2.8333333333333335,2.25
19,0.0,-1.0,-1.0,6976.340000000001,18,50.0,200.0,100,50.0,688.0,688.0,6288.340000000001,6288.526265984006,1,3,5,1,7,2,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.3684210526315789,0.10526315789473684,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3]",2.8421052631578947,2.1329639889196677
20,0.0,-1.0,-1.0,6976.340000000001,19,50.0,200.0,27,50.0,571.0,571.0,6405.340000000001,6405.3588101543355,1,4,5,1,7,2,0.05,0.2,0.25,0.05,0.35,0.1,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1]",2.75,2.1875
21,0.0,-1.0,-1.0,6976.340000000001,20,50.0,200.0,38,200.0,622.0,622.0,6354.340000000001,6354.510425146829,1,5,5,1,7,2,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.047619047619047616,0.3333333333333333,0.09523809523809523,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1]",2.6666666666666665,2.2222222222222223
22,0.0,-1.0,-1.0,6976.340000000001,21,50.0,200.0,109,50.0,619.0,619.0,6357.340000000001,6357.127686114146,1,6,5,1,7,2,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.045454545454545456,0.3181818181818182,0.09090909090909091,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1]",2.590909090909091,2.241735537190083
23,0.0,-1.0,-1.0,6976.340000000001,22,50.0,200.0,144,50.0,659.0,659.0,6317.340000000001,6317.3351698236875,1,6,5,1,7,3,0.043478260869565216,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.30434782608695654,0.13043478260869565,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1, 3, 1, 1, 1, 5]",2.6956521739130435,2.3856332703213607
