Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
21,0.0,-1.0,-1.0,6976.340000000001,20,50.0,200.0,38,200.0,622.0,622.0,6354.340000000001,6354.510425146829,13,8,0.6190476190476191,0.38095238095238093,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
22,0.0,-1.0,-1.0,6976.340000000001,21,50.0,200.0,109,50.0,619.0,619.0,6357.340000000001,6357.127686114146,13,9,0.5909090909090909,0.4090909090909091,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
23,0.0,-1.0,-1.0,6976.340000000001,22,50.0,200.0,144,50.0,659.0,659.0,6317.340000000001,6317.3351698236875,13,10,0.5652173913043478,0.43478260869565216,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1]"
24,0.0,-1.0,-1.0,6976.340000000001,23,50.0,200.0,138,50.0,666.0,666.0,6310.340000000001,6310.506663291066,13,11,0.5416666666666666,0.4583333333333333,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]"
25,0.0,-1.0,-1.0,6976.340000000001,24,50.0,200.0,139,100.0,673.0,673.0,6303.340000000001,6303.692831019861,13,12,0.52,0.48,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
26,0.0,-1.0,-1.0,6976.340000000001,25,50.0,200.0,142,50.0,666.0,666.0,6310.340000000001,6310.618099425689,13,13,0.5,0.5,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]"
27,0.0,-1.0,-1.0,6976.340000000001,26,50.0,200.0,77,50.0,651.0,651.0,6325.340000000001,6325.1558516773,14,13,0.5185185185185185,0.48148148148148145,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0]"
28,0.0,-1.0,-1.0,6976.340000000001,27,50.0,200.0,106,100.0,822.0,822.0,6154.340000000001,6154.725968211181,14,14,0.5,0.5,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]"
29,0.0,-1.0,-1.0,6976.340000000001,28,50.0,200.0,119,50.0,990.0,990.0,5986.340000000001,5986.025123289582,14,15,0.4827586206896552,0.5172413793103449,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]"
30,0.0,-1.0,-1.0,6976.340000000001,29,50.0,200.0,108,50.0,905.0,905.0,6071.340000000001,6071.750517511035,14,16,0.4666666666666667,0.5333333333333333,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
31,0.0,-1.0,-1.0,6976.340000000001,30,50.0,200.0,116,100.0,894.0,894.0,6082.340000000001,6082.464418911954,14,17,0.45161290322580644,0.5483870967741935,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
